"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","1","0","","0"
"0","UI Tests","1","Post creation","0","0","Post draft creation in admin dashboard","0"
"0","E2E Tests","0","Authentication, page creation, check page existing, page delete","1","0","Page creation via APi, see post via UI","0"
"0","UI Tests","1","Adverse adding and deleting ","0","0","User deleting","0"
"0","E2E Tests","0","Authentication, post creation, check post existing, post delete","1","0","Post creation via APi, see post via UI","0"
"0","UI Tests","1","Adverse adding and deleting ","0","0","Ad review","0"
"0","UI Tests","1","Blog creation","0","0","Blog creation in admin dashboard","0"
"0","E2E Tests","1","Authentication, person creation, check person existing, person delete","0","0","Person creation via APi, see person via UI","0"
"0","UI Tests","1","Adverse adding and deleting ","0","0","User registration","0"
"0","API Tests","0","Event API","1","0","","0"
"0","UI Tests","1","Authentication","0","0","Login with valid credentials","0"
"0","API Tests","0","Page API","1","0","","0"
"0","UI Tests","1","Event creation","0","0","Event creation in admin dashboard","0"
"0","API Tests","0","Person API","1","0","","0"
"0","API Tests","0","Posts API","1","0","Post creation, test, removal via APi","0"
"0","UI Tests","0","Main Page","1","0","","0"
"0","UI Tests","1","Adverse adding and deleting ","0","0","Form filling","0"
"0","UI Tests","1","Page creation","0","0","Page creation in admin dashboard","0"
"0","E2E Tests","1","Organization creation and deletion","0","0","Organization creating and full deleting","0"
"0","E2E Tests","1","Authentication, blog post creation, check blog post existing, blog post delete","0","0","Blog creation via APi, see post via UI","0"
"0","UI Tests","1","Person creation","0","0","Person creation in admin dashboard","0"
"0","API Tests","0","Organizations API","1","0","Organization creation, test, removal via APi","0"
"0","API Tests","0","Person API","1","0","Person creation, test, removal via APi","0"
"0","UI Tests","1","Adverse adding and deleting ","0","0","Confirm publishing","0"
"0","API Tests","0","Posts API","1","0","","0"
"0","UI Tests","1","Adverse adding and deleting ","0","0","Ad publishing","0"
"0","API Tests","0","Page API","1","0","Page creation, test, removal via APi","0"
"0","UI Tests","1","Adverse adding and deleting ","0","0","Ad deleting","0"
"0","API Tests","0","Blog API","1","0","Blog post creation, test, removal via APi","0"
"0","API Tests","0","Event API","1","0","Event creation, test, removal via APi","0"
"0","E2E Tests","0","Authentication, event creation, check event existing, event delete","1","0","Event creation via APi, see post via UI","0"
"0","API Tests","0","Organizations API","1","0","","0"
"0","API Tests","0","Blog API","1","0","","0"
