"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14483","Successful blog post creation via APi","","Mon Apr 20 14:09:30 UTC 2026","passed","Mon Apr 20 14:09:45 UTC 2026","","com.elesinsergei.narvaonline.e2e.BlogHybridTest","com.elesinsergei.narvaonline.e2e.BlogHybridTest","shouldSeeCreatedBlogPostOnFrontEnd"
"","11636","1. Register User","","Mon Apr 20 14:11:23 UTC 2026","passed","Mon Apr 20 14:11:35 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","registerTest"
"","2168","5. Confirm Ad Publishing","","Mon Apr 20 14:11:52 UTC 2026","passed","Mon Apr 20 14:11:55 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","review"
"","7855","Login with cookies","","Mon Apr 20 14:14:56 UTC 2026","passed","Mon Apr 20 14:15:04 UTC 2026","","com.elesinsergei.narvaonline.ui.LoginUiTest","com.elesinsergei.narvaonline.ui.LoginUiTest","loginWithCookiesTest"
"","7570","Successful post creation via APi","","Mon Apr 20 14:10:30 UTC 2026","passed","Mon Apr 20 14:10:38 UTC 2026","","com.elesinsergei.narvaonline.e2e.PostHybridTest","com.elesinsergei.narvaonline.e2e.PostHybridTest","shouldSeeCreatedPostOnFrontEnd"
"","2652","Parametrized posts test <script>alert(1)</script> (Status: publish)","","Mon Apr 20 14:10:46 UTC 2026","passed","Mon Apr 20 14:10:48 UTC 2026","","com.elesinsergei.narvaonline.e2e.PostParamHybridTest","com.elesinsergei.narvaonline.e2e.PostParamHybridTest","testWordPressPostLogic"
"","8490","Parametrized user test Проверка создания юзера: 1APItestParamUser","","Mon Apr 20 14:11:13 UTC 2026","passed","Mon Apr 20 14:11:22 UTC 2026","","com.elesinsergei.narvaonline.e2e.UserParamHybridTest","com.elesinsergei.narvaonline.e2e.UserParamHybridTest","userCreatedViaApiAndDeleted"
"Check that the API returns a list of adverts and a status code of 200.","904","Getting a list of adverts","","Mon Apr 20 14:09:05 UTC 2026","passed","Mon Apr 20 14:09:05 UTC 2026","","com.elesinsergei.narvaonline.api.AdvertApiTest","com.elesinsergei.narvaonline.api.AdvertApiTest","shouldGetAdvertsList"
"","4837","6. Delete Ad","","Mon Apr 20 14:11:55 UTC 2026","passed","Mon Apr 20 14:11:59 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","deleteAdv"
"","7003","Post creation and removal via API","","Mon Apr 20 14:08:57 UTC 2026","passed","Mon Apr 20 14:09:04 UTC 2026","","com.elesinsergei.narvaonline.api.AdvertApiTest","com.elesinsergei.narvaonline.api.AdvertApiTest","postCreatedViaApiAndDeleted"
"","5885","Successful login to the admin panel","","Mon Apr 20 14:15:04 UTC 2026","passed","Mon Apr 20 14:15:10 UTC 2026","","com.elesinsergei.narvaonline.ui.LoginUiTest","com.elesinsergei.narvaonline.ui.LoginUiTest","shouldLoginAsAdminTest"
"","29056","Creation and complete deletion of an organization","","Mon Apr 20 14:09:51 UTC 2026","passed","Mon Apr 20 14:10:21 UTC 2026","","com.elesinsergei.narvaonline.e2e.OrganizationHybridTest","com.elesinsergei.narvaonline.e2e.OrganizationHybridTest","shouldCreateAndForceDeleteOrganization"
"Open main page and check page title","5697","Check main page title","","Mon Apr 20 14:14:50 UTC 2026","passed","Mon Apr 20 14:14:56 UTC 2026","","com.elesinsergei.narvaonline.ui.HomeUiTest","com.elesinsergei.narvaonline.ui.HomeUiTest","testNarvaonlineTitle"
